"form","coordinates","name","season","set","rank","rankindex","precedence","vigil","coincideswith","color","tide"
"eo","24S5","Thursday in the last week after Pentecost","Season per annum","Last Sunday","Ferias IV class","18","","","","green",""
"eo","24S6","Friday in the last week after Pentecost","Season per annum","Last Sunday","Ferias IV class","18","","","","green",""
"eo","24S7","Saturday in the last week after Pentecost","Season per annum","Last Sunday","Ferias IV class","18","","","","green",""
"eo","MAT","St. Matthias Apostle","Season per annum","Matthias","Feasts of the Lord II class","7","","","","red",""
"eo","GRL","Greater Litanies","Season per annum","Greater Litanies","Greater Litanies","2","","","","violet",""
"eo","SOS","All Souls","Season per annum","All Souls","All Souls Day","13","","","","black",""
"eo","Z1224","Vigil of Christmas","Christmas season","Fixed dates","Vigil of Christmas","2","","","","violet","Christmas Tide"
"eo","Z1225","Kerstmis","Christmas season","Fixed dates","Feasts of the Lord I class","6","","true","","white","Christmas Tide"
"eo","Z1226","Feast of Saint Stephen, deacon and protomartyr","Christmas season","Fixed dates","Octave of Christmas","12","","","","red","Christmas Tide"
"eo","Z1227","Feast of Saint John, apostle and evangelist","Christmas season","Fixed dates","Octave of Christmas","12","","","","white","Christmas Tide"
"eo","Z1228","Feast of the Holy Innocents","Christmas season","Fixed dates","Octave of Christmas","12","","","","red","Christmas Tide"
"eo","Z0101","Octave day of Christmas","Christmas season","Fixed dates","Octave of Christmas","12","","","","white","Christmas Tide"
"eo","Z0102","Second day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0103","Third day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0104","Fourth day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0105","Fifth day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0107","Seventh day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0108","Eighth day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0109","Ninth day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0110","Tenth day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0111","Eleventh day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0112","Twelfth day of January","Christmas season","Fixed dates","Feria IV class","18","","","","white","Christmas Tide"
"eo","Z0106","Epiphany","Christmas season","Fixed dates","Feasts of the Lord I class","6","","","","white","Epiphany"
"eo","Z0113","Baptism of the Lord","Christmas season","Fixed dates","Feasts of the Lord II class","7","","","","white","Epiphany"
"eo","Z0319","St. Joseph, Spouse of the Blessed Virgin Mary","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z0325","Annunciation of the Blessed Virgin Mary","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z0501","St. Joseph the Workman, Spouse of the Blessed Virgin Mary","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z0624","Nativity of St. John the Baptist","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z0815","Assumption of the Blessed Virgin Mary","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z0929","Dedication of St. Michael Archangel","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z1101","All Saints","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z1208","Immaculate Conception of the Blessed Virgin Mary","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","white",""
"eo","Z0629","Ss. Peter and Paul Apostles","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","red",""
"eo","Z0701","The Most Precious Blood of our Lord Jesus Christ","Season per annum","Fixed dates","Feasts of the Lord I class","6","1","","","red",""
"eo","Z0202","Purification of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0222","Chair of St. Peter","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0531","Blessed Virgin Mary, Queen","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0702","Visitation of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0726","St. Anne Mother of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0806","Transfiguration of our Lord Jesus Christ","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0816","St. Joachim Father of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0822","Immaculate Heart of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0908","Nativity of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0915","Seven Sorrows of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z1007","Blessed Virgin Mary of the Rosary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z1011","The Maternity of the Blessed Virgin Mary","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z1109","Dedication of the Archbasilica of the most Holy Saviour","Season per annum","Fixed dates","Particular Feasts II class","11","","","","white",""
"eo","Z0425","St. Mark Evangelist","Season per annum","Fixed dates","Particular Feasts II class","11","","","GRL","red",""
"eo","Z0511","Ss. Philip and James Apostles","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z0725","St. James Apostle","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z0810","St. Laurence Martyr","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z0824","St. Bartholomew Apostle","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z0914","Exaltation of the Holy Cross","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z0921","St. Matthew Apostle and Evangelist","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z1018","St. Luke Evangelist","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z1028","Ss. Simon and Jude Apostles","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z1130","St. Andrew Apostle","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z1130","St. Andrew Apostle","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z1221","St. Thomas Apostle","Season per annum","Fixed dates","Particular Feasts II class","11","","","","red",""
"eo","Z0623","Vigil for the Nativity of St. John the Baptist","Season per annum","Fixed dates","Vigils II class","14","","","","violet",""
"eo","Z0628","Vigil for Ss. Peter and Paul Apostles","Season per annum","Fixed dates","Vigils II class","14","","","","violet",""
"eo","Z0814","Vigil for the Assumption of the Blessed Virgin Mary","Season per annum","Fixed dates","Vigils II class","14","","","","violet",""
"of","A011","First Sunday of Advent","Advent","Advent","Sunday of Advent","4","2","true","Z1224","violet",""
"of","A021","Second Sunday of Advent","Advent","Advent","Sunday of Advent","4","2","true","Z1224","violet",""
"of","A031","Third Sunday of Advent","Advent","Advent","Sunday of Advent","4","2","true","Z1224","violet",""
"of","A041","Fourth Sunday of Advent","Advent","Advent","Sunday of Advent","4","2","true","Z1224","violet",""
"of","A012","Monday in the First Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A013","Tuesday in the First Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A014","Wednesday in the First Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A015","Thursday in the First Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A016","Friday in the First Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A017","Saturday in the First Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A022","Monday in the Second Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A023","Tuesday in the Second Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A024","Wednesday in the Second Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A025","Thursday in the Second Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A026","Friday in the Second Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A027","Saturday in the Second Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A032","Monday in the Third Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A033","Tuesday in the Third Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A034","Wednesday in the Third Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A035","Thursday in the Third Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A036","Friday in the Third Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A037","Saturday in the Third Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A042","Monday in the Fourth Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A043","Tuesday in the Fourth Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A044","Wednesday in the Fourth Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A045","Thursday in the Fourth Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A046","Friday in the Fourth Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","A047","Saturday in the Fourth Week of Advent","Advent","Advent","Weekday of Advent","13","10","","Z1224","violet",""
"of","B2","Second day in the octave of Christmas","Christmas season","Christmas Octave","Weekday","13","9","","","white",""
"of","B3","Third day in the octave of Christmas","Christmas season","Christmas Octave","Weekday","13","9","","","white",""
"of","B4","Fourth day in the octave of Christmas","Christmas season","Christmas Octave","Weekday","13","9","","","white",""
"of","B5","Fifth day in the octave of Christmas","Christmas season","Christmas Octave","Weekday","13","9","","","white",""
"of","B6","Sixth day in the octave of Christmas","Christmas season","Christmas Octave","Weekday","13","9","","","white",""
"of","B7","Seventh day in the octave of Christmas","Christmas season","Christmas Octave","Weekday","13","9","","","white",""
"of","C1","Second Sunday after Christmas","Christmas season","Weekdays of Christmas Season","Sunday of Christmas","8","6","true","","white",""
"of","C2","Monday of Christmas Season","Christmas season","Weekdays of Christmas Season","Weekday of Christmas","13","10","","","white",""
"of","C3","Tuesday of Christmas Season","Christmas season","Weekdays of Christmas Season","Weekday of Christmas","13","10","","","white",""
"of","C4","Wednesday of Christmas Season","Christmas season","Weekdays of Christmas Season","Weekday of Christmas","13","10","","","white",""
"of","C5","Thursday of Christmas Season","Christmas season","Weekdays of Christmas Season","Weekday of Christmas","13","10","","","white",""
"of","C6","Friday of Christmas Season","Christmas season","Weekdays of Christmas Season","Weekday of Christmas","13","10","","","white",""
"of","C7","Saturday of Christmas Season","Christmas season","Weekdays of Christmas Season","Weekday of Christmas","13","10","","","white",""
"of","E2","Monday after Epiphany","Christmas season","Weekdays after Epiphany","Weekday of Christmas","13","10","","","white",""
"of","E3","Tuesday after Epiphany","Christmas season","Weekdays after Epiphany","Weekday of Christmas","13","10","","","white",""
"of","E4","Wednesday after Epiphany","Christmas season","Weekdays after Epiphany","Weekday of Christmas","13","10","","","white",""
"of","E5","Thursday after Epiphany","Christmas season","Weekdays after Epiphany","Weekday of Christmas","13","10","","","white",""
"of","E6","Friday after Epiphany","Christmas season","Weekdays after Epiphany","Weekday of Christmas","13","10","","","white",""
"of","E7","Saturday after Epiphany","Christmas season","Weekdays after Epiphany","Weekday of Christmas","13","10","","","white",""
"of","HFA","Feast of the Holy Family","Christmas season","Holy Family","Feast of the Lord","7","5","","","white",""
"of","EPI","Epiphany of the Lord","Christmas season","Epiphany of the Lord","Movable Solemnity","5","2","","","white",""
"of","BAP","Feast of the Baptism of the Lord","Christmas season","Baptism","Feast of the Lord","7","5","","","white",""
"of","L004","Ash Wednesday","Lent","Lent","Ash Wednesday","3","2","","","violet",""
"of","L005","Thursday after Ash Wednesday","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L006","Friday after Ash Wednesday","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L007","Saturday after Ash Wednesday","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L011","First Sunday of Lent","Lent","Lent","Sunday of Lent","4","2","","","violet",""
"of","L021","Second Sunday of Lent","Lent","Lent","Sunday of Lent","4","2","","","violet",""
"of","L031","Third Sunday of Lent","Lent","Lent","Sunday of Lent","4","2","","","violet",""
"of","L041","Fourth Sunday of Lent","Lent","Lent","Sunday of Lent","4","2","","","violet",""
"of","L051","Fifth Sunday of Lent","Lent","Lent","Sunday of Lent","4","2","","","violet",""
"of","L012","Monday in the First Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L013","Tuesday in the First Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L014","Wednesday in the First Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L015","Thursday in the First Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L016","Friday in the First Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L017","Saturday in the First Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L022","Monday in the Second Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L023","Tuesday in the Second Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L024","Wednesday in the Second Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L025","Thursday in the Second Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L026","Friday in the Second Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L027","Saturday in the Second Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L032","Monday in the Third Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L033","Tuesday in the Third Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L034","Wednesday in the Third Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L035","Thursday in the Third Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L036","Friday in the Third Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L037","Saturday in the Third Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L042","Monday in the Fourth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L043","Tuesday in the Fourth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L044","Wednesday in the Fourth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L045","Thursday in the Fourth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L046","Friday in the Fourth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L047","Saturday in the Fourth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L052","Monday in the Fifth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L053","Tuesday in the Fifth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L054","Wednesday in the Fifth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L055","Thursday in the Fifth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L056","Friday in the Fifth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L057","Saturday in the Fifth Week of Lent","Lent","Lent","Weekday of Lent","13","9","","","violet",""
"of","L061","Passion Sunday","Lent","Lent","Sunday of Lent","4","2","","","red",""
"of","L062","Monday in the Holy Week","Lent","Lent","Holy Week","2","2","","","violet",""
"of","L063","Tuesday in the Holy Week","Lent","Lent","Holy Week","2","2","","","violet",""
"of","L064","Wednesday in the Holy Week","Lent","Lent","Holy Week","2","2","","","violet",""
"of","P005","Holy Thursday","Easter Triduum","Easter","Holy Week","2","2","","","white",""
"of","P006","Good Friday","Easter triduum","Easter","Holy Week","2","1","true","","red",""
"of","P007","Holy Saturday","Easter triduum","Easter","Holy Week","2","1","","","none",""
"of","P011","Easter","Easter triduum","Easter","Easter","1","1","true","","white",""
"of","P021","Second Sunday of Easter","Easter season","Easter","Sunday of Easter","4","2","","","white",""
"of","P031","Third Sunday of Easter","Easter season","Easter","Sunday of Easter","4","2","","","white",""
"of","P041","Fourth Sunday of Easter","Easter season","Easter","Sunday of Easter","4","2","","","white",""
"of","P051","Fifth Sunday of Easter","Easter season","Easter","Sunday of Easter","4","2","","","white",""
"of","P061","Sixth Sunday of Easter","Easter season","Easter","Sunday of Easter","4","2","","","white",""
"of","P071","Seventh Sunday of Easter","Easter season","Easter","Sunday of Easter","4","2","","","white",""
"of","P012","Monday in the octave of Easter","Easter season","Easter","Octave of Easter","2","2","","","white",""
"of","P013","Tuesday in the octave of Easter","Easter season","Easter","Octave of Easter","2","2","","","white",""
"of","P014","Wednesday in the octave of Easter","Easter season","Easter","Octave of Easter","2","2","","","white",""
"of","P015","Thursday in the octave of Easter","Easter season","Easter","Octave of Easter","2","2","","","white",""
"of","P016","Friday in the octave of Easter","Easter season","Easter","Octave of Easter","2","2","","","white",""
"of","P017","Saturday in the octave of Easter","Easter season","Easter","Octave of Easter","2","2","","","white",""
"of","P022","Monday in the Second Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P023","Tuesday in the Second Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P024","Wednesday in the Second Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P025","Thursday in the Second Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P026","Friday in the Second Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P027","Saturday in the Second Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P032","Monday in the Third Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P033","Tuesday in the Third Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P034","Wednesday in the Third Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P035","Thursday in the Third Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P036","Friday in the Third Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P037","Saturday in the Third Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P042","Monday in the Fourth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P043","Tuesday in the Fourth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P044","Wednesday in the Fourth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P045","Thursday in the Fourth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P046","Friday in the Fourth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P047","Saturday in the Fourth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P052","Monday in the Fifth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P053","Tuesday in the Fifth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P054","Wednesday in the Fifth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P055","Thursday in the Fifth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P056","Friday in the Fifth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P057","Saturday in the Fifth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P062","Monday in the Sixth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P063","Tuesday in the Sixth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P064","Wednesday in the Sixth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P065","Thursday in the Sixth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P066","Friday in the Sixth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P067","Saturday in the Sixth Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P072","Monday in the Seventh Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P073","Tuesday in the Seventh Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P074","Wednesday in the Seventh Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P075","Thursday in the Seventh Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P076","Friday in the Seventh Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P077","Saturday in the Seventh Week of Easter","Easter season","Easter","Weekday","13","13","","","white",""
"of","P065","Ascension of the Lord","Easter season","Special days after Easter","Movable Solemnity","5","2","","","white",""
"of","P081","Pentecost","Easter season","Special days after Easter","Movable Solemnity","5","2","","","red",""
"of","P091","Trinity Sunday","Ordinary Time","Special days after Easter","Movable Solemnity","5","3","","","white",""
"of","P106","Solemnity of the Sacred Heart of Jezus","Ordinary Time","Special days after Easter","Movable Solemnity","5","3","","","white",""
"of","P095","Corpus Christi","Ordinary Time","Special days after Easter","Movable Solemnity","5","3","","","white",""
"of","Y021","Second Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y031","Third Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y041","Fourth Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y051","Fifth Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y061","Sixth Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y071","Seventh Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y081","Eighth Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y091","Ninth Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y101","Tenth Sunday of Ordinary Time","Ordinary Time","Ordinary before Easter","Sunday of Ordinary Time","8","6","true","","green",""
"of","Y012","Monday in the First Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y013","Tuesday in the First Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y014","Wednesday in the First Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y015","Thursday in the First Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y016","Friday in the First Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y017","Saturday in the First Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y022","Monday in the Second Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y023","Tuesday in the Second Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y024","Wednesday in the Second Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y025","Thursday in the Second Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y026","Friday in the Second Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y027","Saturday in the Second Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y032","Monday in the Third Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y033","Tuesday in the Third Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y034","Wednesday in the Third Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y035","Thursday in the Third Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y036","Friday in the Third Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y037","Saturday in the Third Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y042","Monday in the Fourth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y043","Tuesday in the Fourth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y044","Wednesday in the Fourth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y045","Thursday in the Fourth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y046","Friday in the Fourth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y047","Saturday in the Fourth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y052","Monday in the Fifth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y053","Tuesday in the Fifth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y054","Wednesday in the Fifth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y055","Thursday in the Fifth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y056","Friday in the Fifth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y057","Saturday in the Fifth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y062","Monday in the Sixth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y063","Tuesday in the Sixth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y064","Wednesday in the Sixth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y065","Thursday in the Sixth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y066","Friday in the Sixth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
"of","Y067","Saturday in the Sixth Week of Ordinary Time","Ordinary Time","Ordinary before Easter","Weekday of Ordinary Time","13","13","","","green",""
